Model Performance Summary:

Overall Metrics:
MSE: 0.0063
RMSE: 0.0793
MAE: 0.0606
R2_Score: 0.8813
Pearson_Correlation: 0.9389

Gene Performance:
Mean Gene Correlation: 0.9362
Mean Spearman Correlation: 0.9289
Best Performing Genes Pearson: Nlgn1, Tsc22d2, Cdk19, SLY, Plagl1
Best Performing Genes Spearman: Nlgn1, Gpm6a, Tusc3, Thsd1, Ing2

Temporal Performance:
Time-lagged Correlation: 0.9362
DTW Distance: 1.7909
Direction Accuracy: 0.9089
Change Magnitude Ratio: 0.9484
Predictions shape: (30, 162)
Zbtb20: correlation 0.9317, connections: 3
Ier5l: correlation 0.9314, connections: 20
Skida1: correlation 0.9303, connections: 20
Ube2e3: correlation 0.9287, connections: 20
Kcnh7: correlation 0.9275, connections: 20
Fgf21: correlation 0.9267, connections: 10
Fam171a1: correlation 0.9263, connections: 20
Zfp850: correlation 0.9235, connections: 10
Plxdc2: correlation 0.9231, connections: 20
Prx: correlation 0.9221, connections: 10
Thnsl1: correlation 0.9218, connections: 20
Celf2: correlation 0.9216, connections: 20
Dolpp1: correlation 0.9215, connections: 20
Nr6a1: correlation 0.9213, connections: 20
Gpr158: correlation 0.9207, connections: 20
Cyp2b9: correlation 0.9205, connections: 10
Mrrf: correlation 0.9204, connections: 20
Ewsr1: correlation 0.9202, connections: 10
Nsmf: correlation 0.9199, connections: 20
Slc2a8: correlation 0.9199, connections: 20
Fam163b: correlation 0.9184, connections: 20
Pes1: correlation 0.9184, connections: 10
Slc8a2: correlation 0.9180, connections: 10
Gabra1: correlation 0.9174, connections: 10
Uap1l1: correlation 0.9173, connections: 20
Hbq1a: correlation 0.9173, connections: 10
Dyrk1b: correlation 0.9168, connections: 10
Zfp607a: correlation 0.9166, connections: 10
Ppp2ca: correlation 0.9151, connections: 10
Cyp2b13: correlation 0.9145, connections: 10
Nmi: correlation 0.9143, connections: 20
Ebf1: correlation 0.9142, connections: 10
Ccdc88a: correlation 0.9128, connections: 10
Trim7: correlation 0.9128, connections: 10
Itk: correlation 0.9125, connections: 10
Aff4: correlation 0.9118, connections: 10
Hnrnph1: correlation 0.9091, connections: 10
Mars2: correlation 0.8913, connections: 27
Map4k4: correlation 0.8913, connections: 27
Ly96: correlation 0.8895, connections: 27
1700025G04Rik: correlation 0.8892, connections: 27
Plekhb2: correlation 0.8856, connections: 27
Fzd7: correlation 0.8835, connections: 27
Satb2: correlation 0.8821, connections: 27
Inhbb: correlation 0.8820, connections: 27
Arhgef4: correlation 0.8819, connections: 27
Flrt1: correlation 0.8818, connections: 1
Hnrnpu: correlation 0.8813, connections: 27
STUM: correlation 0.8811, connections: 27
Tbc1d8: correlation 0.8798, connections: 27
Wdr12: correlation 0.8782, connections: 27
Macir: correlation 0.8776, connections: 27
Zbtb41: correlation 0.8771, connections: 27
Zfand5: correlation 0.8770, connections: 1
Zfp648: correlation 0.8761, connections: 27
Ino80d: correlation 0.8757, connections: 27
Klhl20: correlation 0.8756, connections: 27
Mdm4: correlation 0.8752, connections: 27
Ikzf2: correlation 0.8739, connections: 27
Adora1: correlation 0.8725, connections: 27
Pfkfb2: correlation 0.8722, connections: 27
Rnf152: correlation 0.8716, connections: 27
Klf7: correlation 0.8711, connections: 27
Klhdc8a: correlation 0.8703, connections: 27
Phlpp1: correlation 0.8690, connections: 27
Dusp23: correlation 0.8644, connections: 27
Dpp10: correlation 0.8624, connections: 27

Temporal Analysis:
Best predicted time point: 7
Worst predicted time point: 17
Mean accuracy: 0.9344
Std of accuracy: 0.0680
